id,Genus,name,Latitude,Longitude,mint.cm,at.warmq,p.dryq,p.wetq,p.warmq
1,Juniperus,Juniperus_angosturana,21.148,-102.69,0.729893684,0.354664385,-0.281655103,0.976855874,0.895072579
2,Juniperus,Juniperus_angosturana,21.434,-102.574,0.682253659,0.372858465,-0.341758579,0.807468951,0.733581007
3,Juniperus,Juniperus_angosturana,28.793,-102.42,0.596501589,0.655472934,-0.107799456,-0.547479272,-0.045643937
4,Juniperus,Juniperus_angosturana,25.3,-101.828,0.663197577,0.315850407,-0.0067588,0.056591071,0.2714715
5,Juniperus,Juniperus_angosturana,25.58,-101.17,0.710837603,0.324340969,0.160285413,-0.051235277,0.191194862
6,Juniperus,Juniperus_angosturana,21.448,-100.667,0.725129664,0.194556624,-0.107799456,0.02468578,0.03211258
7,Juniperus,Juniperus_angosturana,21.446,-100.661,0.725129664,0.198195457,-0.107799456,-0.003278766,0.020547807
8,Juniperus,Juniperus_angosturana,25.07,-100.607,0.572681546,0.22124128,0.380371362,-0.15805392,0.276008308
9,Juniperus,Juniperus_angosturana,25.3,-100.45,0.563153565,-0.055308487,0.424506724,0.160621911,0.507570565
10,Juniperus,Juniperus_angosturana,21.502,-100.44,0.729893684,0.169084966,0.129773974,0.033879191,0.066012673
11,Juniperus,Juniperus_angosturana,22.22,-100.25,0.882341743,0.539030969,0.160285413,0.35161221,0.595797241
12,Juniperus,Juniperus_angosturana,22.2,-100.10167,0.925217748,0.593613148,0.145184308,0.209836692,0.481599629
13,Juniperus,Juniperus_angosturana,22.3,-100.07,0.925217748,0.610594213,0.129773974,0.074489512,0.403912991
14,Juniperus,Juniperus_angosturana,24.547,-99.873,0.763241649,0.284314007,0.321679205,0.100902565,0.387702286
15,Juniperus,Juniperus_angosturana,23.66,-99.865,0.672725618,0.2236671,0.160285413,-0.201198488,0.262339413
16,Juniperus,Juniperus_angosturana,21.143,-99.846,0.8680498,0.302508086,-0.086357884,0.052079093,0.066012673
17,Juniperus,Juniperus_angosturana,23.2,-99.833,0.834701717,0.490513414,0.129773974,-0.031843495,0.324679852
18,Juniperus,Juniperus_angosturana,20.693,-99.813,0.768005669,0.251564682,-0.152873412,0.197694778,0.220236242
19,Juniperus,Juniperus_angosturana,21.547,-99.688,0.987149775,0.660324693,0.064716667,0.405335218,0.36709702
20,Juniperus,Juniperus_angosturana,23.237,-99.682,0.815645754,0.400756031,0.189615145,0.225864202,0.536544561
21,Juniperus,Juniperus_angosturana,20.915,-99.564,0.710837603,0.11450275,0.145184308,0.568362951,0.31599319
22,Juniperus,Juniperus_angosturana,21.078,-99.515,0.848993719,0.249138862,0.245122895,0.391201347,0.224998787
23,Juniperus,Juniperus_angosturana,20.73,-99.38,0.86328578,0.365580857,-0.129952237,-0.070917048,0.098792702
24,Juniperus,Juniperus_angosturana,20.832,-99.311,0.839465737,0.284314036,0.129773974,0.241711542,0.210645616
25,Juniperus,Juniperus_angosturana,21.268,-99.245,0.94427377,0.532966256,0.245122895,0.608812034,0.285024196
26,Juniperus,Juniperus_angosturana,22.453,-99.082,1.091957927,0.847117066,0.402729511,1.407683611,1.441061139
27,Juniperus,Juniperus_angosturana,20.618,-99.047,0.810881734,0.240648285,0.160285413,0.249569073,0.248491526
28,Juniperus,Juniperus_angosturana,20.618,-99.043,0.810881734,0.240648285,0.160285413,0.249569073,0.248491526
29,Juniperus,Juniperus_angosturana,23.75,-99.816,0.586973548,0.084179305,0.245122895,-0.00799713,0.36709702
30,Juniperus,Juniperus_arizonica,32.0062,-112.854,0.625085592,0.957494438,-0.484601349,-0.630851865,-0.294168085
31,Juniperus,Juniperus_arizonica,34.2816,-112.72,0.253493339,0.475958198,0.160285413,-0.195724711,0.093403459
33,Juniperus,Juniperus_arizonica,32.0417,-112.717,0.620321572,0.90048635,-0.374259502,-0.532953084,-0.201116502
34,Juniperus,Juniperus_arizonica,32.15,-112.717,0.586973548,1.008437872,-0.484601349,-0.695621967,-0.344678402
35,Juniperus,Juniperus_arizonica,32.1167,-112.7,0.596501589,0.96841085,-0.445351422,-0.638745308,-0.294168085
36,Juniperus,Juniperus_arizonica,33.9377,-111.823,0.439289451,0.742804408,0.189615145,-0.217763796,0.03211258
37,Juniperus,Juniperus_arizonica,33.9787,-111.797,0.463109463,0.622723699,0.28431794,-0.065968841,0.375385642
38,Juniperus,Juniperus_arizonica,33.8642,-111.467,0.444053471,0.744017422,0.175091252,-0.137016058,-0.014993284
39,Juniperus,Juniperus_arizonica,34.1353,-111.447,0.272549361,0.525688589,0.271467,-0.174062222,0.285024196
40,Juniperus,Juniperus_arizonica,34.0667,-111.433,0.334481388,0.506281614,0.321679205,-0.080869853,0.362929016
41,Juniperus,Juniperus_arizonica,35.202,-111.423,0.024821179,0.298869252,0.321679205,-0.29810375,0.008844516
42,Juniperus,Juniperus_arizonica,32.719,-111.4,0.644141614,0.831348896,0.011794054,-0.15805392,0.120064907
43,Juniperus,Juniperus_arizonica,32.719,-111.4,0.644141614,0.831348896,0.011794054,-0.15805392,0.120064907
44,Juniperus,Juniperus_arizonica,33.9785,-111.382,0.444053471,0.740378678,0.189615145,-0.168703735,-0.008978602
45,Juniperus,Juniperus_arizonica,34.3166,-111.374,0.1820333,0.423801869,0.333758891,-0.142243266,0.311623484
46,Juniperus,Juniperus_arizonica,31.4285,-111.224,0.501221478,0.587548435,0.011794054,0.272883147,0.511232674
47,Juniperus,Juniperus_arizonica,33.7024,-111.205,0.539333522,0.939300358,0.04750571,-0.286303967,-0.186507151
48,Juniperus,Juniperus_arizonica,31.429,-111.19,0.472637504,0.603316665,-0.02581533,0.237766549,0.485346437
49,Juniperus,Juniperus_arizonica,31.4343,-111.187,0.467873484,0.60210371,-0.02581533,0.237766549,0.485346437
50,Juniperus,Juniperus_arizonica,33.6548,-111.116,0.510749519,0.94779098,0.029873131,-0.286303967,-0.179289788
51,Juniperus,Juniperus_arizonica,33.959,-111.076,0.201089308,0.289165765,0.333758891,0.033879191,0.458854377
52,Juniperus,Juniperus_arizonica,33.6449,-111.019,0.515513539,0.98175317,0.011794054,-0.35886699,-0.22348395
53,Juniperus,Juniperus_arizonica,33.7967,-110.97,0.291605383,0.366793752,0.28431794,-0.036664676,0.399882674
54,Juniperus,Juniperus_arizonica,31.454,-110.959,0.472637504,0.683370531,-0.107799456,0.15224731,0.419889212
55,Juniperus,Juniperus_arizonica,32.2217,-110.926,0.653669596,0.990243733,-0.176628441,-0.365113139,-0.027136553
56,Juniperus,Juniperus_arizonica,31.4905,-110.919,0.505985498,0.68579632,-0.086357884,0.185446545,0.447306722
57,Juniperus,Juniperus_arizonica,33.9066,-110.902,0.253493339,0.465041697,0.189615145,-0.223334387,0.054841358
58,Juniperus,Juniperus_arizonica,32.8811,-110.853,0.52027756,0.791321933,0.097963408,-0.147491947,0.125313744
59,Juniperus,Juniperus_arizonica,33.9941,-110.836,0.1820333,0.338896215,0.28431794,-0.070917048,0.19609198
60,Juniperus,Juniperus_arizonica,31.8608,-110.704,0.501221478,0.642130673,0.04750571,0.22984314,0.46648711
61,Juniperus,Juniperus_arizonica,31.6333,-110.7,0.444053471,0.558437943,0.029873131,0.284398168,0.522149265
62,Juniperus,Juniperus_arizonica,32.2264,-110.643,0.515513539,0.687009335,0.011794054,0.020065492,0.285024196
63,Juniperus,Juniperus_arizonica,32.2265,-110.643,0.515513539,0.687009335,0.011794054,0.020065492,0.285024196
64,Juniperus,Juniperus_arizonica,32.0477,-110.626,0.529805541,0.764637411,-0.065576248,-0.012732213,0.280525744
65,Juniperus,Juniperus_arizonica,31.583,-110.525,0.391649425,0.524475694,-0.0067588,0.217873409,0.474068701
66,Juniperus,Juniperus_arizonica,31.5465,-110.276,0.510749519,0.687009335,-0.065576248,0.056591071,0.358744979
67,Juniperus,Juniperus_arizonica,32.347,-110.242,0.424997479,0.653047085,-0.086357884,-0.095943063,0.205817148
68,Juniperus,Juniperus_arizonica,31.6485,-110.169,0.472637504,0.70156455,-0.086357884,-0.017484268,0.298406452
69,Juniperus,Juniperus_arizonica,32.9723,-109.673,0.415469438,0.661537647,0.011794054,-0.212217897,0.093403459
70,Juniperus,Juniperus_arizonica,32.15,-109.433,0.372593433,0.55237323,0.029873131,-0.00799713,0.276008308
71,Juniperus,Juniperus_arizonica,31.6495,-109.313,0.363065392,0.472319365,0.064716667,0.096535824,0.379506707
72,Juniperus,Juniperus_arizonica,31.9348,-109.219,0.253493339,0.326766878,0.114039131,0.135344341,0.399882674
73,Juniperus,Juniperus_arizonica,31.9348,-109.219,0.253493339,0.326766878,0.114039131,0.135344341,0.399882674
74,Juniperus,Juniperus_arizonica,31.9275,-109.17,0.277313352,0.40318194,0.04750571,0.065569863,0.333297074
75,Juniperus,Juniperus_ashei,32.637,-106.496,0.344009399,0.572993159,-0.065576248,-0.340318471,0.060442768
76,Juniperus,Juniperus_ashei,29.9983,-104.229,0.453581482,0.53660506,0.011794054,0.074489512,0.403912991
77,Juniperus,Juniperus_ashei,30.7814,-102.723,0.491693497,0.762211502,0.097963408,-0.263036311,0.002939777
78,Juniperus,Juniperus_ashei,30.226,-102.067,0.567917585,0.807090163,0.097963408,-0.29810375,-0.033265971
79,Juniperus,Juniperus_ashei,31.3641,-102.042,0.496457517,0.779192567,0.231612682,-0.263036311,-0.008978602
80,Juniperus,Juniperus_ashei,28.42,-101.92,0.68701762,0.759785593,0.081528917,-0.116316602,0.224998787
81,Juniperus,Juniperus_ashei,27.2167,-101.858,0.68701762,0.609381318,-0.065576248,-0.35265255,0.060442768
82,Juniperus,Juniperus_ashei,28.15,-101.75,0.677489638,0.791321933,0.231612682,0.160621911,0.435638845
83,Juniperus,Juniperus_ashei,30.7319,-101.409,0.515513539,0.757359684,0.333758891,-0.142243266,0.07705944
84,Juniperus,Juniperus_ashei,33.1811,-101.3,0.391649425,0.73552686,0.357394993,-0.041503824,0.375385642
85,Juniperus,Juniperus_ashei,30.7103,-101.201,0.510749519,0.729462087,0.4136886,-0.08587496,0.135730281
86,Juniperus,Juniperus_ashei,29.38,-101.18,0.710837603,0.922319233,0.29696548,-0.137016058,0.151157409
87,Juniperus,Juniperus_ashei,29.8941,-101.151,0.658433616,0.878653526,0.368962944,-0.15805392,0.135730281
88,Juniperus,Juniperus_ashei,31.8241,-101.045,0.467873484,0.75372088,0.445737273,-0.090899281,0.181330755
89,Juniperus,Juniperus_ashei,25.4533,-100.928,0.753713667,0.428653628,0.064716667,-0.340318471,0.03211258
90,Juniperus,Juniperus_ashei,30.8996,-100.539,0.515513539,0.695499897,0.553990841,-0.046360444,0.224998787
91,Juniperus,Juniperus_ashei,31.8837,-100.531,0.496457517,0.796173751,0.54468441,0.010776752,0.224998787
92,Juniperus,Juniperus_ashei,29.3524,-100.418,0.720365644,0.853181779,0.54468441,-0.056128081,0.2714715
93,Juniperus,Juniperus_ashei,29.9712,-100.3,0.601265609,0.706416309,0.599121988,-0.003278766,0.379506707
94,Juniperus,Juniperus_ashei,29.45,-99.93,0.682253659,0.770702064,0.699095488,0.070036925,0.411929786
95,Juniperus,Juniperus_ashei,32.3114,-99.8808,0.515513539,0.730675101,0.658749282,0.056591071,0.358744979
96,Juniperus,Juniperus_ashei,30.8984,-99.8226,0.539333522,0.739165664,0.666960001,-0.061039105,0.293964326
97,Juniperus,Juniperus_ashei,29.841,-99.8069,0.620321572,0.695499897,0.737775981,0.135344341,0.455018282
98,Juniperus,Juniperus_ashei,29.3501,-99.7608,0.682253659,0.831348896,0.691164792,0.015429232,0.350328475
99,Juniperus,Juniperus_ashei,28.8644,-99.7597,0.763241649,0.905338109,0.590275407,-0.056128081,0.215451986
100,Juniperus,Juniperus_ashei,30.4913,-99.7499,0.558389544,0.762211502,0.625154674,-0.101006567,0.285024196
101,Juniperus,Juniperus_ashei,31.7728,-99.4541,0.510749519,0.770702064,0.767623782,0.100902565,0.354544848
102,Juniperus,Juniperus_ashei,30.0622,-99.3487,0.596501589,0.700351655,0.838436484,0.15224731,0.435638845
103,Juniperus,Juniperus_ashei,29.7361,-99.2306,0.634613574,0.745230317,0.891624451,0.118231513,0.395837367
104,Juniperus,Juniperus_ashei,29.3538,-99.1102,0.710837603,0.843478262,0.891624451,0.148041025,0.2714715
105,Juniperus,Juniperus_ashei,30.3127,-98.9498,0.601265609,0.700351655,0.878591716,0.173089504,0.431722254
106,Juniperus,Juniperus_ashei,32.7381,-98.8395,0.496457517,0.797386706,0.845243275,0.139589548,0.311623484
107,Juniperus,Juniperus_ashei,32.331,-98.8278,0.491693497,0.759785593,0.865386605,0.160621911,0.333297074
108,Juniperus,Juniperus_ashei,30.4989,-98.8186,0.629849553,0.771914959,0.885129273,0.185446545,0.36709702
109,Juniperus,Juniperus_ashei,31.1552,-98.8147,0.572681546,0.782831371,0.817728162,0.056591071,0.298406452
110,Juniperus,Juniperus_ashei,29.9505,-98.7036,0.625085592,0.762211502,1.047405601,0.299609125,0.481599629
111,Juniperus,Juniperus_ashei,30.7052,-98.6849,0.60602957,0.819219589,0.898077548,0.143821776,0.302830189
112,Juniperus,Juniperus_ashei,31.4959,-98.5939,0.577445567,0.758572638,0.885129273,0.087760173,0.289503634
113,Juniperus,Juniperus_ashei,29.4486,-98.5199,0.787061691,0.872588813,0.972463965,0.245645553,0.407928675
114,Juniperus,Juniperus_ashei,30.2673,-98.3995,0.629849553,0.797386706,1.03622067,0.261273772,0.362929016
115,Juniperus,Juniperus_ashei,32.7478,-98.3058,0.510749519,0.811941922,0.984351635,0.276731789,0.415916681
116,Juniperus,Juniperus_ashei,29.8105,-98.2835,0.672725618,0.765850306,1.122561455,0.340625226,0.489080697
117,Juniperus,Juniperus_ashei,32.234,-98.2156,0.52027756,0.776766777,0.996103764,0.284398168,0.383612096
118,Juniperus,Juniperus_ashei,30.7836,-98.1847,0.596501589,0.748869181,1.02491498,0.25348112,0.320345193
119,Juniperus,Juniperus_ashei,29.7,-98.12,0.701309621,0.83498776,1.112143159,0.376929194,0.447306722
120,Juniperus,Juniperus_ashei,31.7034,-98.1102,0.548861504,0.771914959,0.960437298,0.197694778,0.320345193
121,Juniperus,Juniperus_ashei,30.0576,-98.0295,0.667961597,0.779192626,1.138002872,0.35161221,0.447306722
122,Juniperus,Juniperus_ashei,32.9126,-97.9808,0.505985498,0.815580726,0.990244269,0.295821369,0.391777426
123,Juniperus,Juniperus_ashei,30.4278,-97.8567,0.658433616,0.790108979,1.101622701,0.280569971,0.358744979
124,Juniperus,Juniperus_ashei,32.778,-97.8058,0.505985498,0.803451359,1.058472872,0.307154208,0.403912991
125,Juniperus,Juniperus_ashei,30.3,-97.78,0.706073642,0.833774805,1.090997934,0.288216382,0.375385642
126,Juniperus,Juniperus_ashei,30.3333,-97.7794,0.701309621,0.836200655,1.090997934,0.288216382,0.362929016
127,Juniperus,Juniperus_ashei,32.2217,-97.7714,0.52027756,0.820432484,1.013486028,0.35525623,0.337579995
128,Juniperus,Juniperus_ashei,30.65,-97.7,0.639377594,0.814367831,1.153226972,0.276731789,0.320345193
129,Juniperus,Juniperus_ashei,33.4157,-97.6597,0.486929476,0.802238345,0.984351635,0.32212612,0.362929016
130,Juniperus,Juniperus_ashei,33.3307,-97.6438,0.496457517,0.810728908,0.996103764,0.340625226,0.371249169
131,Juniperus,Juniperus_ashei,33.2814,-97.6352,0.496457517,0.813154817,1.007724047,0.340625226,0.379506707
132,Juniperus,Juniperus_ashei,31.9018,-97.6291,0.553625524,0.81679368,1.074860096,0.333254337,0.379506707
133,Juniperus,Juniperus_ashei,31.21,-97.62,0.620321572,0.794960797,1.096323609,0.272883147,0.293964326
134,Juniperus,Juniperus_ashei,33.2358,-97.6007,0.496457517,0.808303118,1.02491498,0.358890772,0.395837367
135,Juniperus,Juniperus_ashei,33.2372,-97.5996,0.496457517,0.798599601,1.02491498,0.362516314,0.403912991
136,Juniperus,Juniperus_ashei,30.6443,-97.5983,0.644141614,0.83498776,1.173200727,0.280569971,0.320345193
137,Juniperus,Juniperus_ashei,33.3907,-97.572,0.486929476,0.804664254,1.001930237,0.333254337,0.371249169
